Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
1992,24962,24940,25058,25219,25401,25483,25475,25666,25832,25930,26097,26210
1993,26240,26373,26525,26697,26959,26959,26929,26951,27196,27090,27305,27553
1994,27956,28567,28638,28469,28438,28371,28644,28701,28744,29104,29316,29321
1995,29427,29716,29505,29566,29441,29357,29951,29947,29902,29910,29683,29691
1996,29537,29611,29744,29737,29898,30117,30355,30352,30235,30278,29954,30057
1997,30100,29999,30077,30034,30337,30341,30267,30645,30536,30555,30560,30390
1998,30344,30376,30339,30502,30399,30340,30341,30235,30431,30543,30940,30995
1999,31332,31269,30803,31132,30992,31104,31185,30843,31271,31386,31569,31646
2000,31877,31989,32207,32289,32537,32457,32362,32430,32326,32422,32343,32450
2001,32361,32551,32679,32596,32678,32672,32645,32703,32874,32360,32469,32443
2002,32286,31965,31926,31732,31735,31815,31982,32153,32302,32438,32486,32354
2003,32655,32622,32403,32485,32426,32545,32456,32300,32355,32205,32148,32480
2004,32460,32628,32799,33118,33205,33192,33152,33076,33006,33047,33029,33020
2005,33122,33309,33449,33467,33472,33491,33619,33858,33853,33794,33934,34081
2006,34322,34600,34202,33973,33735,33694,34020,34125,34136,34311,34062,34422
2007,33919,33473,34193,34406,34792,34907,34945,34745,34818,35054,35011,34992
2008,35093,34804,35139,35209,35185,35330,34853,35078,35131,34841,34986,34826
2009,34242,34432,34207,34169,33929,33850,33744,33612,33567,33625,33693,33640
2010,33604,33639,33598,33648,33824,33700,33774,33789,33543,34135,33891,33841
2011,33888,33844,33868,33934,33886,33693,33691,33909,33795,33867,34072,34301
2012,34755,34599,34634,34404,34188,34697,34625,34803,34997,35041,34821,34906
2013,34764,34879,34919,34805,34954,34665,34937,35437,35269,34837,34922,34731
2014,34700,34908,34922,35078,35096,35440,35776,36009,35644,35553,35374,35110
2015,35328,35468,35681,35947,35889,36199,36070,35748,35698,35568,35662,36196
2016,36407,36453,36422,36217,36455,36370,36353,36000,36189,36468,36510,36799
2017,36596,36251,36560,36368,35814,36135,36070,35914,36220,36317,36570,36584
2018,36548,36289,36301,36626,36605,36603,36347,35884,36204,36375,36338,35936
2019,36052,36050,36025,36199,36600,36103,36035,36558,36370,36515,36393,36491
2020,36243,,,,,,,,,,,
