Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
1992,26776,26818,26954,27097,27203,27344,27397,27476,27446,27502,27528,27740
1993,27805,27845,27885,27785,27916,28132,27963,28226,28247,28325,28609,28635
1994,28721,28701,28750,29231,29334,29112,29232,29367,29741,29506,29551,29793
1995,29802,30115,30193,30240,30280,30269,30490,30377,30582,30868,30904,30774
1996,31032,31161,31204,31039,31348,31535,31528,31573,31496,31686,32064,31816
1997,31887,31975,32235,32487,32295,32334,32344,32495,32820,32844,33032,33098
1998,33075,33098,33259,33356,33354,33610,33965,34107,34373,34191,34129,34299
1999,34343,34318,34403,34590,34930,35048,35239,35579,35250,35255,34703,35282
2000,35929,35900,35824,35949,35901,35986,35960,35978,36043,36033,36248,36562
2001,36494,36452,36373,36256,36356,36331,36550,36507,36598,36787,36857,36626
2002,36641,37267,37341,37696,37752,37563,37508,37614,37529,37326,37097,37369
2003,37622,38065,38347,38284,38470,38743,38608,38783,38519,39187,39089,39049
2004,39099,38898,39321,39057,38978,39079,39021,39073,39408,39680,40000,39833
2005,39779,39639,39564,39879,40002,40056,40240,40470,40595,40699,40554,41153
2006,40937,40808,40947,41089,41354,41537,41776,41760,42003,42111,42554,42852
2007,42743,42967,42762,42650,43244,43398,43478,43521,43233,43221,43356,43597
2008,43719,44480,44408,44174,43645,43936,43927,43977,43946,43938,43749,43539
2009,43353,43252,43244,43338,43360,43362,43571,43646,43675,44115,43788,43734
2010,43663,43330,43357,43521,43539,44187,44032,43651,44523,44075,44023,44187
2011,44294,44441,44666,44684,44707,44913,44819,44914,45118,45089,45066,45243
2012,45440,45657,46119,46004,46304,45998,45828,46599,46724,47044,46895,46906
2013,47083,47309,47418,47616,47467,47486,47257,47512,47420,47640,48127,48067
2014,48736,48412,48266,48451,48569,48693,48641,48550,48873,49027,49627,50352
2015,50218,50076,50039,49832,50563,50517,50937,51233,51299,51405,51494,51897
2016,51473,51648,52028,52093,52104,52705,52693,52672,52935,52716,52686,52712
2017,53028,53294,53251,53490,53872,54091,54502,54411,54467,54479,54239,54511
2018,54697,55286,55494,55652,55740,55401,55871,56631,56180,56718,56970,57264
2019,56948,57139,57408,57150,56973,57308,57445,57630,57966,58319,58750,58778
2020,59002,,,,,,,,,,,
