Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
1992,35237,35446,35531,35547,35372,35296,35419,35234,35218,35219,35094,35050
1993,35047,35132,35090,35176,35343,35432,35542,35606,35329,35633,35590,35814
1994,35708,34872,34868,34813,35202,35182,35106,35150,35197,35156,35293,35179
1995,35134,34959,35104,35019,34978,35085,34902,34966,35038,34893,34979,35048
1996,34897,35099,34985,35224,35138,35099,35321,35360,35627,35633,35615,35742
1997,36002,35975,35924,36050,36036,36293,36591,36328,36211,36231,36199,36287
1998,36107,36182,36102,35862,36047,35790,35908,35983,35953,36119,35959,35861
1999,36039,35927,36139,36133,36050,36062,35824,35732,36013,35925,36434,36006
2000,36716,36706,36696,36935,36508,36395,36302,35865,36118,36241,36448,36459
2001,36519,36488,36457,36390,36288,36162,35995,35914,35805,35692,35494,35640
2002,35482,35821,35516,35448,35538,35549,35890,35907,36184,36116,35945,35856
2003,35907,35722,35700,35788,35733,35767,35835,35774,35914,35845,36299,35986
2004,35945,35989,35690,35690,35895,36091,36457,36135,35876,35829,35793,35978
2005,36087,36331,36379,36672,36522,36348,36304,36371,36366,36553,36449,36318
2006,36293,36276,36725,36702,36693,37146,36770,36658,36815,36818,36842,36637
2007,37047,37144,37061,36901,36313,36707,36635,36807,37123,36746,36925,36820
2008,36490,36280,36159,35957,36201,36070,36622,36068,35963,36125,35712,35578
2009,35561,35071,34892,34781,34644,34680,34546,34386,33975,33801,34030,33557
2010,34115,34644,34802,34664,34189,33922,34053,34476,34328,34120,34014,34217
2011,33989,33980,33925,33791,33942,33768,33864,33634,33731,33795,33785,33643
2012,33789,33870,33743,33873,33899,33810,33708,33416,33370,33610,33765,33727
2013,33707,33344,33317,33518,33689,33675,34067,33682,33707,33513,33367,33844
2014,33734,33839,33924,33780,33829,34174,34131,34016,34068,34026,33422,33444
2015,33520,33377,33692,33585,33303,33243,33239,33530,33420,33631,33401,32876
2016,33616,33742,33651,33646,33820,33553,33793,34013,33801,34025,34071,33872
2017,33656,34090,34372,34476,34386,34302,33926,34036,34257,34090,34476,34434
2018,34151,34460,34358,33979,34454,34661,34948,34672,34808,34638,34630,34814
2019,34997,34847,34667,34658,34552,34761,35018,35011,34990,34928,34850,34764
2020,34861,,,,,,,,,,,
