Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
1992,12266,12087,12002,11952,11850,11974,12142,11739,11659,11550,11494,11423
1993,11362,11442,11364,11221,11178,11155,11430,11225,11064,11129,10975,10893
1994,10854,11036,10935,10977,11037,11000,11019,11008,11133,11192,11230,11244
1995,11076,10991,10968,11054,10968,10847,10751,10654,10965,11016,11028,11030
1996,11187,11228,11294,11281,11252,11292,11304,11352,11348,11344,11399,11498
1997,11499,11445,11689,11521,11586,11521,11617,11535,11485,11470,11560,11599
1998,11714,11727,11636,11773,11858,11879,11646,11508,11645,11444,11541,11708
1999,11466,11342,11384,10995,11059,11240,11190,11407,11294,11375,11454,11336
2000,11557,11711,11419,11460,11341,11647,11886,12064,12058,11891,11710,11557
2001,11601,11612,11659,11814,11752,11734,11860,11602,11508,11668,11535,11646
2002,11599,11652,11636,11744,11702,11803,11394,11344,11403,11389,11336,11385
2003,11474,11500,11773,11719,11551,11328,11431,11427,11459,11577,11603,11617
2004,11220,11413,11320,11041,11154,11215,11386,11504,11629,11523,11716,11814
2005,11576,11572,11560,11474,11778,11965,12197,11868,11728,11625,11664,11540
2006,11732,11806,11819,11913,12006,11912,11893,11933,11888,12015,11859,11913
2007,11962,12234,12161,11749,11570,11171,11212,11217,11229,11198,11254,11319
2008,11393,11334,11174,11191,11150,11057,11012,10961,10901,11074,10851,10749
2009,10647,10557,10484,10251,10341,10391,10400,10375,10392,10246,10185,10145
2010,10149,9816,10096,10296,10339,10377,10297,10144,9960,9969,9935,9958
2011,9824,9737,9957,9846,9761,9803,10001,10102,10131,10192,10181,10100
2012,9956,9893,9893,9883,9908,9986,10111,9947,10000,9970,9729,9852
2013,9736,9888,9910,9600,9937,10051,9804,9802,9830,9633,9712,9715
2014,9779,10018,10114,9782,9812,9565,9334,9769,9853,10019,10124,10087
2015,10309,10265,10182,10366,10195,10193,9892,9809,9752,9913,10166,10142
2016,10101,9976,10059,10021,9710,9771,9899,9912,9829,9871,9755,9684
2017,9678,9501,9521,9439,9707,9658,9821,9867,9859,9732,9698,9508
2018,9710,9673,9676,9717,9719,9925,9682,9699,9620,9676,9647,9654
2019,9468,9721,9532,9453,9383,9482,9458,9478,9440,9240,9245,9379
2020,9090,,,,,,,,,,,
