Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
1992,1479,1488,1525,1524,1540,1559,1541,1511,1536,1531,1519,1579
1993,1543,1528,1470,1469,1437,1502,1484,1581,1475,1448,1435,1427
1994,1424,1444,1380,1392,1370,1298,1295,1298,1303,1278,1314,1221
1995,1211,1137,1258,1258,1287,1251,1265,1236,1182,1216,1278,1154
1996,1211,1159,1144,1180,1171,1181,1164,1159,1151,1161,1153,1152
1997,1099,1079,1098,1044,944,1023,971,1006,1026,917,986,1052
1998,1009,958,1015,856,997,889,917,853,940,942,918,910
1999,941,993,914,948,925,775,960,952,871,884,872,807
2000,862,973,916,857,874,911,927,921,851,798,869,891
2001,991,933,918,982,1010,1027,1026,1110,1167,1367,1418,1439
2002,1433,1419,1450,1541,1598,1523,1473,1486,1559,1570,1587,1654
2003,1628,1615,1638,1629,1681,1668,1694,1648,1658,1614,1573,1484
2004,1524,1470,1624,1418,1390,1436,1456,1412,1414,1431,1487,1454
2005,1413,1445,1364,1347,1342,1348,1297,1233,1284,1352,1370,1397
2006,1267,1304,1325,1325,1315,1238,1287,1246,1281,1220,1189,1198
2007,1334,1250,1260,1291,1227,1283,1291,1300,1223,1267,1191,1371
2008,1358,1385,1433,1451,1569,1595,1685,1789,1857,1921,2030,2107
2009,2383,2697,2759,2845,2879,2964,2930,2980,3051,3206,3234,3224
2010,3153,2960,3079,3089,3027,2978,3074,3204,3296,3048,3195,2976
2011,2968,2889,2757,2769,2882,3049,3049,3068,3154,2989,2834,2819
2012,2660,2695,2826,2846,2857,2752,2686,2497,2476,2583,2436,2568
2013,2575,2436,2348,2367,2445,2405,2259,2297,2274,2382,2380,2283
2014,2156,2211,2217,2127,2062,1931,2013,2008,2019,1849,1811,1844
2015,1945,1858,1801,1764,1669,1595,1637,1603,1586,1642,1654,1566
2016,1607,1591,1574,1575,1474,1576,1606,1568,1590,1471,1473,1455
2017,1439,1497,1389,1394,1533,1423,1404,1386,1360,1411,1370,1359
2018,1285,1310,1322,1307,1247,1256,1189,1303,1190,1153,1165,1224
2019,1277,1172,1253,1149,1042,1131,1192,1143,1085,1069,1085,1018
2020,1040,,,,,,,,,,,
