Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
1992,856,894,814,886,907,906,887,837,910,934,973,936
1993,901,908,908,918,858,852,810,750,824,841,840,840
1994,860,830,819,752,767,762,805,764,778,739,698,698
1995,718,717,784,842,763,807,771,787,740,745,742,747
1996,755,743,703,742,750,697,715,671,711,698,756,743
1997,682,671,671,657,720,673,685,699,718,636,584,600
1998,632,626,626,561,575,590,579,623,595,667,647,629
1999,621,669,660,714,666,715,662,581,605,602,604,624
2000,656,601,605,547,593,575,632,682,696,583,557,559
2001,582,581,751,791,782,810,817,870,923,997,1098,1131
2002,1088,1105,1085,1125,1145,1150,1141,1086,1126,1168,1121,1131
2003,1176,1177,1211,1201,1197,1235,1219,1263,1269,1238,1231,1221
2004,1188,1176,1167,1148,1149,1093,1062,1080,1037,1023,1032,1013
2005,997,972,982,996,986,945,965,867,970,951,939,901
2006,878,916,935,936,879,884,868,777,889,806,795,802
2007,907,827,797,812,869,890,938,928,898,928,964,938
2008,936,923,946,956,982,1062,1117,1288,1187,1425,1452,1637
2009,1772,1866,1966,1994,2169,2189,2177,2190,2296,2176,2209,2234
2010,2237,2254,2210,2196,2109,2038,2096,2094,2089,2135,2341,2221
2011,1979,1999,2060,2101,2125,2033,1988,1974,1973,2048,2079,1940
2012,2040,2007,1996,1907,1898,1939,1943,1968,1954,1788,1895,1953
2013,1869,1901,1851,1916,1907,1885,1855,1658,1813,1842,1698,1657
2014,1646,1710,1679,1643,1619,1639,1564,1580,1479,1516,1645,1473
2015,1458,1408,1225,1404,1462,1292,1320,1244,1315,1339,1342,1319
2016,1321,1317,1370,1306,1326,1371,1332,1413,1385,1422,1279,1344
2017,1347,1301,1310,1350,1289,1289,1278,1315,1275,1167,1159,1205
2018,1197,1270,1238,1193,1144,1314,1247,1166,1149,1182,1296,1271
2019,1392,1262,1189,1211,1244,1235,1257,1236,1193,1235,1174,1160
2020,1174,,,,,,,,,,,
