Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
1992,2572,2653,2613,2644,2626,2571,2523,2776,2519,2503,2503,2566
1993,2457,2349,2388,2371,2424,2403,2398,2320,2346,2416,2253,2241
1994,2199,2246,2166,2067,1982,2003,1934,1993,1857,1815,1786,1729
1995,1866,1721,1641,1868,1859,1744,1724,1666,1730,1638,1746,1733
1996,1797,1730,1732,1787,1754,1676,1739,1615,1689,1723,1725,1700
1997,1691,1715,1671,1614,1581,1648,1586,1609,1562,1562,1446,1528
1998,1492,1507,1595,1471,1373,1483,1531,1468,1539,1515,1468,1413
1999,1299,1287,1297,1307,1304,1426,1344,1303,1379,1246,1217,1319
2000,1297,1300,1263,1244,1301,1267,1276,1366,1308,1334,1318,1318
2001,1430,1408,1429,1389,1458,1437,1538,1663,1657,1766,1854,1853
2002,1992,1986,2013,2058,2071,2038,1923,1968,1915,1870,1965,2004
2003,1988,2054,2090,2179,2117,2169,2037,2047,2018,2071,2020,2055
2004,1855,1896,2001,2003,1918,1990,1905,1881,1770,1822,1814,1805
2005,1795,1859,1811,1696,1708,1827,1823,1787,1888,1836,1823,1716
2006,1674,1664,1583,1684,1636,1601,1717,1773,1593,1580,1672,1637
2007,1653,1668,1539,1568,1667,1583,1750,1696,1748,1781,1751,1803
2008,1812,1802,1928,1895,1925,1955,2074,2234,2364,2460,2677,3002
2009,3176,3274,3528,3654,3832,3721,3607,3698,4010,4194,3920,3974
2010,3891,4149,4309,4184,4183,4014,3775,3850,3674,3715,3760,3712
2011,3569,3635,3634,3716,3610,3754,3391,3438,3511,3504,3251,3192
2012,3131,3082,2966,2947,3052,3161,3137,3139,3105,3022,2945,2925
2013,2988,2879,2775,2714,2669,2820,2764,2690,2765,2614,2587,2548
2014,2327,2316,2268,2246,2350,2135,2209,2216,1944,2066,2020,1863
2015,1910,1891,1877,1938,2067,1906,1950,1944,1870,1841,1920,1942
2016,1831,1850,1900,1941,1827,1785,1805,1806,1884,1952,1777,1814
2017,1828,1740,1756,1665,1720,1640,1605,1822,1564,1502,1576,1507
2018,1586,1583,1546,1529,1410,1491,1475,1424,1359,1440,1263,1372
2019,1361,1357,1328,1237,1278,1407,1306,1302,1315,1335,1328,1330
2020,1369,,,,,,,,,,,
