Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
1992,1490,1499,1511,1440,1642,1624,1636,1570,1548,1496,1512,1459
1993,1417,1428,1387,1377,1357,1402,1329,1323,1326,1332,1285,1341
1994,1296,1276,1280,1233,1136,1183,1198,1196,1179,1201,1142,1041
1995,1121,1079,953,1072,1050,1038,1066,1114,1101,1103,1131,1114
1996,1069,1096,1142,1136,1214,1068,1090,1052,1010,963,1044,1041
1997,1107,1109,1059,1051,1072,1029,972,953,1004,969,919,942
1998,878,894,890,920,888,923,906,881,867,850,885,863
1999,877,914,735,815,803,826,829,870,836,809,786,695
2000,793,748,803,760,845,785,816,794,790,820,818,728
2001,833,944,854,861,828,870,865,906,964,966,998,1049
2002,1041,1057,1032,1179,1064,992,1075,1035,965,1080,1122,1116
2003,1104,1122,1111,1091,1145,1169,1102,1172,1073,1144,1102,991
2004,1117,1078,1099,1035,1073,1072,1017,1013,1103,1057,1021,1035
2005,972,984,978,1031,993,885,986,967,1046,917,935,919
2006,888,906,879,883,898,905,904,870,815,741,836,856
2007,882,958,906,896,818,800,878,785,918,882,944,946
2008,951,900,1025,934,987,1060,1042,1172,1178,1269,1309,1342
2009,1506,1607,1714,1788,1852,1918,1884,1922,1814,1833,1762,1792
2010,1826,1837,1764,1776,1770,1714,1608,1665,1843,1762,1814,1752
2011,1645,1583,1633,1698,1656,1644,1693,1657,1690,1587,1497,1599
2012,1487,1494,1453,1409,1470,1443,1425,1328,1322,1371,1321,1312
2013,1334,1254,1240,1259,1226,1203,1181,1228,1153,1180,1158,1058
2014,1010,1092,1047,934,991,972,976,986,911,881,957,955
2015,939,919,952,956,970,907,900,839,839,811,742,695
2016,769,754,796,819,783,807,690,793,917,793,826,785
2017,772,792,670,648,653,673,756,644,710,611,530,630
2018,560,589,560,602,562,583,530,584,577,602,570,592
2019,573,546,586,532,532,535,517,542,477,543,516,516
2020,531,,,,,,,,,,,
